email,senha
0.31981101573035825@mail.com,user123         
0.6071780695202098@mail.com,user123          
0.724578646696392@mail.com,user123           
0.46196625105178946@mail.com,user123         
0.8991615532474644@mail.com,user123          
0.6879233666744398@mail.com,user123          
0.13219136400379708@mail.com,user123         
0.39855728000919427@mail.com,user123         
0.3530600740535535@mail.com,user123          
0.49284238535246994@mail.com,user123         
0.10457974802752691@mail.com,user123         
0.027733871820508474@mail.com,user123        
0.10063444499127826@mail.com,user123         
0.9258851533783694@mail.com,user123          
0.2326452571484282@mail.com,user123          
0.45315709766966444@mail.com,user123         
0.6786490543482698@mail.com,user123          
0.504975516923243@mail.com,user123           
0.007920805235944331@mail.com,user123        
0.5656562225567355@mail.com,user123          
0.631014592525303@mail.com,user123           
0.33753708483631656@mail.com,user123         
0.522516009770869@mail.com,user123           
0.2836468412505972@mail.com,user123          
0.8112362481846773@mail.com,user123          
0.7458088148793435@mail.com,user123          
0.8953172581876744@mail.com,user123          
0.25537882106003473@mail.com,user123         
0.9983988182037726@mail.com,user123          
0.733238986753945@mail.com,user123           
0.47788008714626234@mail.com,user123         
0.8783133566536028@mail.com,user123          
0.9443500086141359@mail.com,user123          
0.12661965353533186@mail.com,user123         
0.8007712578736015@mail.com,user123          
0.10591704183075192@mail.com,user123         
0.07852890725963473@mail.com,user123         
0.5233483726781937@mail.com,user123          
0.1784779318730782@mail.com,user123          
0.1286017961306034@mail.com,user123          
